,delayType
12029,2
9996,3
5639,2
14951,3
985,2
3270,2
18476,3
17310,2
12246,2
17097,1
1594,2
17825,3
6342,2
18870,3
3062,2
14086,2
16796,1
16655,2
4933,2
9463,1
15833,3
6687,3
11934,2
18778,2
15163,3
17537,2
2232,1
16733,2
13578,2
8437,2
8801,2
2198,2
7888,3
4055,2
16109,3
5005,2
17165,2
7982,2
11846,2
1080,1
17145,1
12138,3
9589,2
13417,2
10781,1
11601,1
15144,2
6491,2
18477,2
12152,2
14108,2
6911,2
13785,3
19102,2
6963,1
18294,2
11857,2
5994,2
7266,2
11189,2
1569,2
10454,2
3221,2
18481,2
18875,1
11908,2
7346,2
4078,2
5211,2
17502,2
16641,2
7183,3
5673,2
14522,2
692,3
1477,2
5664,3
19044,1
8287,2
4746,2
7104,2
9546,2
12993,2
2221,3
1653,2
7008,2
13997,2
6793,2
8501,2
7344,2
8458,1
14125,2
14872,2
18475,2
872,2
17347,2
16309,2
14871,3
18156,1
17948,2
16880,2
3200,2
2050,3
2707,2
12114,2
6496,2
2671,2
11541,2
2606,2
13244,2
2453,2
6774,2
15272,2
2,3
15952,2
11277,1
7680,2
13167,1
7156,2
14351,2
12974,3
1215,2
3339,2
12404,2
6289,2
17329,3
3304,3
2242,3
10952,2
7300,2
16835,2
4752,3
6508,2
10307,2
15912,1
1758,2
12001,2
10763,1
17544,2
18021,2
3324,2
12870,2
6105,3
2689,2
2520,2
13642,3
10912,1
2603,1
6713,2
18801,1
4846,2
6093,2
9887,3
10010,3
15278,2
3527,2
8512,2
9782,2
4778,2
2575,2
12626,1
6596,2
4006,2
18924,2
16769,2
1002,3
9866,2
17660,3
6623,2
10853,2
12185,3
2495,3
14930,2
11818,2
7896,2
1223,2
304,2
1863,1
7618,2
1279,2
1362,3
4989,2
14565,2
13031,2
2768,2
4322,2
15508,2
7696,2
14805,2
6148,2
19017,2
7163,3
1920,2
14370,3
4730,2
11112,1
14514,2
15925,2
10550,3
4820,3
13767,2
9075,1
763,2
18573,1
17511,2
3545,2
16672,2
13945,2
6684,2
14703,2
576,2
2291,2
12935,3
2485,1
1402,2
18012,2
5532,2
9380,2
1875,1
14524,1
5070,3
8000,2
1497,2
14358,3
9585,2
9923,2
4695,2
2492,2
17375,2
14411,1
3275,2
18386,2
17717,2
1438,2
5789,2
3466,2
10202,2
18936,2
2798,2
17937,2
2777,3
13141,2
1059,1
2683,2
10945,2
15690,2
8110,2
17280,2
10974,2
4383,1
12367,1
2440,2
11482,2
7667,2
13503,2
11281,2
149,2
12655,1
18402,1
14586,2
7165,1
17851,2
15320,2
13587,2
11129,2
4575,2
2995,2
5842,2
5915,2
13258,2
4223,2
1299,3
8896,2
6664,3
9069,2
7248,2
7586,2
11361,2
5936,2
9718,2
2831,2
15579,3
9871,2
18058,2
6577,2
4607,3
6863,2
10026,1
17550,2
14166,2
15931,3
7153,2
3699,3
17305,3
6600,2
15365,2
18162,2
4896,2
1635,3
13861,2
4899,3
15077,2
11233,3
12514,1
11863,2
9119,2
6640,2
18036,2
1977,3
4420,1
5629,2
16736,3
18614,3
18083,3
18411,1
5147,2
2234,2
19107,2
11378,2
2006,2
3771,3
1698,3
9233,2
14640,1
5456,2
15887,2
2999,2
8659,2
754,2
18060,2
5571,2
9646,2
10214,2
3983,3
5434,2
1796,2
1112,2
18839,2
17435,3
13403,1
15732,2
7470,2
1663,2
9336,2
113,2
11433,1
13692,1
11535,2
14287,2
12407,3
11770,3
15823,1
3429,1
4018,3
11859,2
6529,2
8859,2
8800,2
5940,2
7091,2
5316,2
4651,2
9734,3
12653,3
5954,1
6591,2
127,2
9880,2
11,2
3364,2
10960,3
13710,2
717,2
2779,3
12883,3
15344,1
17149,2
3026,3
7545,2
7195,2
2388,1
11101,3
912,2
15164,3
9927,2
5105,2
16208,2
12758,1
10843,2
14999,3
12256,1
12151,1
6561,2
6194,2
12024,2
12762,3
9662,2
10689,2
3368,2
12419,2
15968,3
13701,2
8928,1
1348,3
3128,2
16253,1
160,3
16372,2
11880,2
16395,3
16249,2
5933,2
18334,3
14502,2
14467,3
13864,2
13802,3
5625,3
9306,2
9016,2
16036,2
1687,2
14259,2
16191,2
